run_seed,evaluations,support_width_classes,family_semantics,certification_regimes,no_worse_violation_rate,family_rescue_rate
17,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.050289
18,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005787,0.054398
19,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.007176,0.051794
20,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.004398,0.034549
21,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005787,0.056192
22,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.003935,0.041609
23,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005787,0.051968
24,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.00625,0.046238
25,17280,"[1, 2, 3]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006481,0.037269
26,17280,"[1, 2, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006481,0.065336
27,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005787,0.055498
28,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.046817
29,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005093,0.044676
30,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.051678
31,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005093,0.041377
32,17280,"[1, 2, 3]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.007407,0.048206
33,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.053993
34,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005787,0.051215
35,17280,"[1, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005093,0.043576
36,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005787,0.056424
37,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.003935,0.042245
38,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005787,0.055035
39,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006944,0.052778
40,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.00625,0.043461
41,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.004167,0.037442
42,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006944,0.056771
43,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.003935,0.040162
44,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.00625,0.043924
45,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005324,0.052604
46,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005324,0.040567
47,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.047512
48,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006944,0.053241
49,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005787,0.052778
50,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.004861,0.047164
51,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.00625,0.044213
52,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006713,0.058623
53,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005787,0.053762
54,17280,"[1, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005324,0.041435
55,17280,"[1, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.003472,0.050174
56,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005787,0.051968
